"","Servizio","Fornitore","Tipo di servizio","Scadenza","Totale","Stato","Da risolvere","Azioni"
"","studioberto.net     Online","OVH","Dominio","15-11-2019","€ 18,00","Da confermare","0",""
"","info@studioberto.net","Qboxmail","Email","15-11-2019","€ 24,00","Da confermare","0",""
"","raffaele@studioberto.net","Qboxmail","Email","15-11-2019","€ 55,00","Da confermare","0",""
"","sebastiano@studioberto.net","Qboxmail","Email","15-11-2019","€ 24,00","Da confermare","0",""
"","rosalbatedesco.it     Offline","OVH","Dominio","17-09-2019","€ 10,00","Da confermare","0",""
"","20propuestas.com     Online","MediaTemple","Hosting","17-09-2019","€ 56,00","Da confermare","0",""
"","pensilinedistributori.it     Online","OVH","Dominio","10-08-2019","€ 15,00","Da confermare","0",""
"","pensilinedistributori.it     Online","MediaTemple","Hosting","10-08-2019","€ 75,00","Da confermare","0",""
"","amautoverona.com     Online","OVH","Dominio","15-06-2019","€ 15,00","Da confermare","0",""
"","amautoverona.it     Online","OVH","Dominio","15-06-2019","€ 15,00","Da confermare","0",""
